2025-07-03 16:43:22,378 INFO 📍 Starting GeoNames lookup for city='newfoundland', country='north macedonia'
2025-07-03 16:43:22,483 INFO 📄 Index 0 | Name: Newfoundland and Labrador | fcl: A, fcode: ADM1 | ADM1: Newfoundland and Labrador, ADM2: , ADM3: , ADM4:  | Score: 75.02, Population: 508099 | Fuzzy match: 64.86486486486487
2025-07-03 16:43:22,483 INFO 📄 Index 1 | Name: St. John's | fcl: P, fcode: PPLA | ADM1: Newfoundland and Labrador, ADM2: St. John's, ADM3: , ADM4:  | Score: 54.73, Population: 110525 | Fuzzy match: 18.181818181818176
2025-07-03 16:43:22,484 INFO 📄 Index 2 | Name: Gander | fcl: P, fcode: PPL | ADM1: Newfoundland and Labrador, ADM2: Gander, ADM3: , ADM4:  | Score: 36.71, Population: 11688 | Fuzzy match: 33.333333333333336
2025-07-03 16:43:22,484 INFO 📄 Index 3 | Name: Brigus | fcl: A, fcode: ADM2 | ADM1: Newfoundland and Labrador, ADM2: Brigus, ADM3: , ADM4:  | Score: 34.43, Population: 0 | Fuzzy match: 11.111111111111116
2025-07-03 16:43:22,536 INFO 📄 Index 0 | Name: Newfoundland and Labrador | fcl: A, fcode: ADM1 | ADM1: Newfoundland and Labrador, ADM2: , ADM3: , ADM4:  | Score: 75.02, Population: 508099 | Fuzzy match: 64.86486486486487
2025-07-03 16:43:22,536 INFO 📄 Index 1 | Name: St. John's | fcl: P, fcode: PPLA | ADM1: Newfoundland and Labrador, ADM2: St. John's, ADM3: , ADM4:  | Score: 54.73, Population: 110525 | Fuzzy match: 18.181818181818176
2025-07-03 16:43:22,536 INFO 📄 Index 2 | Name: Gander | fcl: P, fcode: PPL | ADM1: Newfoundland and Labrador, ADM2: Gander, ADM3: , ADM4:  | Score: 36.71, Population: 11688 | Fuzzy match: 33.333333333333336
2025-07-03 16:43:22,536 INFO 📄 Index 3 | Name: Brigus | fcl: A, fcode: ADM2 | ADM1: Newfoundland and Labrador, ADM2: Brigus, ADM3: , ADM4:  | Score: 34.43, Population: 0 | Fuzzy match: 11.111111111111116
2025-07-03 16:43:22,585 INFO 📄 Index 0 | Name: Newfoundland and Labrador | fcl: A, fcode: ADM1 | ADM1: Newfoundland and Labrador, ADM2: , ADM3: , ADM4:  | Score: 75.02, Population: 508099 | Fuzzy match: 64.86486486486487
2025-07-03 16:43:22,586 INFO 📄 Index 1 | Name: St. John's | fcl: P, fcode: PPLA | ADM1: Newfoundland and Labrador, ADM2: St. John's, ADM3: , ADM4:  | Score: 54.73, Population: 110525 | Fuzzy match: 18.181818181818176
2025-07-03 16:43:22,586 INFO 📄 Index 2 | Name: Gander | fcl: P, fcode: PPL | ADM1: Newfoundland and Labrador, ADM2: Gander, ADM3: , ADM4:  | Score: 36.71, Population: 11688 | Fuzzy match: 33.333333333333336
2025-07-03 16:43:22,586 INFO 📄 Index 3 | Name: Brigus | fcl: A, fcode: ADM2 | ADM1: Newfoundland and Labrador, ADM2: Brigus, ADM3: , ADM4:  | Score: 34.43, Population: 0 | Fuzzy match: 11.111111111111116
2025-07-03 16:43:22,638 INFO 📄 Index 0 | Name: Newfoundland and Labrador | fcl: A, fcode: ADM1 | ADM1: Newfoundland and Labrador, ADM2: , ADM3: , ADM4:  | Score: 75.02, Population: 508099 | Fuzzy match: 64.86486486486487
2025-07-03 16:43:22,638 INFO 📄 Index 1 | Name: St. John's | fcl: P, fcode: PPLA | ADM1: Newfoundland and Labrador, ADM2: St. John's, ADM3: , ADM4:  | Score: 54.73, Population: 110525 | Fuzzy match: 18.181818181818176
